First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
duckduckgo / organic,/blog/betano-bonus-fara-depunere,18,,13,,22,
duckduckgo / organic,/gads-lp-rotiri-gratuite-fara-depunere-pmax,4,,13,,5,
google / organic,/blog/bonus-aniversar-betano,80,,13,,89,
google / organic,/blog/depunere-luck-retragere,71,,13,,107,
google / organic,/blog/reguli-popa-prostu,1846,,13,,2165,
google / organic,/blog/vivabet-bonus-fara-depunere,40,,13,,42,
google / organic,/fortuna-casino,25,,13,,35,
google / organic,/recenzii-casino-online-romania,61,,13,,65,
google / organic,/unibet-casino,14,,13,,21,
bing / organic,/cazinouri-noi-licentiate,20,,12,,30,
google / organic,/admiralbet-casino,17,,12,,22,
google / organic,/blog/depunere-swiper-casino-retragere,99,,12,,112,
google / organic,/blog/efbet-bonus-fara-depunere,68,,12,,72,
google / organic,/blog/verificare-cont-stanleybet,31,,12,,39,
google / organic,/blog/winboss-casino-cod-bonus,49,,12,,55,
google / organic,/producator/egt,136,,12,,225,
bing / organic,/blog/lady-casino-bonus-fara-depunere,10,,11,,11,
bing / organic,/rotiri-gratuite-fara-depunere-2025,10,,11,,16,
bing / organic,/winner-casino,32,,11,,37,
google / organic,/blog/bonus-fara-depunere-favbet,24,,11,,27,
google / organic,/blog/bonus-ziua-ta-toto-gaming,104,,11,,114,
google / organic,/blog/cod-bonus-maxbet,57,,11,,70,
google / organic,/blog/cod-promo-favbet,49,,11,,57,
google / organic,/blog/concurenti-asia-express,689,,11,,773,
google / organic,/blog/elite-slots-cod-bonus,20,,11,,22,
google / organic,/blog/inregistrare-prima-casino,20,,11,,22,
google / organic,/blog/promotii-zilnice-vlad-cazino,10,,11,,12,
google / organic,/blog/royal-slots-contact,44,,11,,48,
google / organic,/blog/totalbet-casino-bonus-de-bun-venit,23,,11,,25,
google / organic,/blog/toto-gaming-app,96,,11,,110,
google / organic,/blog/vipbet-bonus-de-bun-venit,87,,11,,91,
google / organic,/getsbet-casino,48,,11,,56,
google / organic,/jocuri/sloturi-speciale,74,,11,,106,
bing / organic,/blog/promotii-haloween-cazino,13,,10,,17,
bing / organic,/blog/ultrabet-bonus-fara-depunere,10,,10,,10,
bing / organic,/blog/winbet-bonus-fara-depunere,14,,10,,19,
duckduckgo / organic,/blog/promotii-superbet-fara-depunere,19,,10,,19,
google / organic,/betano-casino,30,,10,,46,
google / organic,/blog/bonus-bun-venit-888-depunere,15,,10,,23,
google / organic,/blog/bonus-de-bun-venit-favbet,8,,10,,11,
google / organic,/blog/calculare-algoritm-pacanele,312,,10,,343,
google / organic,/blog/depunere-manhattan-casino-retragere,22,,10,,25,
google / organic,/blog/gets-bet-mobile,11,,10,,11,
google / organic,/blog/million-casino-bonus-fara-depunere,28,,10,,28,
google / organic,/blog/sloturi-superbet,77,,10,,84,
google / organic,/blog/transfer-bancar,25,,10,,26,
google / organic,/blog/unibet-app-mobile,12,,10,,12,
google / organic,/blog/winbet-roata-norocului,21,,10,,28,
google / organic,/lucky-seven-casino,20,,10,,21,
google / organic,/mozzart-casino,15,,10,,19,
google / organic,/pokerstars-casino,7,,10,,7,
bing / organic,/blog/conticazino-bonus-fara-depunere,9,,9,,10,
bing / organic,/blog/sloturi-superbet,62,,9,,76,
bing / organic,/rotiri-fara-depunere-pmax,5,,9,,6,
