First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
bing / organic,/blog/32rosu-casino-bonus-fara-depunere,1,0,1,,1,0
bing / organic,/blog/admiralbet-bonus-fara-depunere,1,0,1,,1,0
bing / organic,/blog/bonus-fara-depunere-las-vegas-casino,1,-0.5,1,-0.5,1,-0.6666666666666666
bing / organic,/blog/cod-bonus-winbet,1,,1,,1,
bing / organic,/blog/promotii-superbet-fara-depunere,1,,1,,1,
bing / organic,/blog/sloturi-superbet,2,0,1,-0.5,2,0
bing / organic,/freebet-fara-depunere,1,,1,,1,
duckduckgo / organic,/blog/12xbet-bonus-fara-depunere,1,0,1,,1,0
duckduckgo / organic,/blog/fortuna-bonus-fara-depunere,1,,1,,1,
duckduckgo / organic,/blog/zinx-casino-bonus-fara-depunere,2,,1,,3,
duckduckgo / organic,/bonusuri-de-top,1,,1,,1,
google / organic,/admiralbet-casino,1,,1,,1,
google / organic,/bilion-casino,7,-0.2222222222222222,1,-0.8,7,-0.2222222222222222
google / organic,/blog/aplicatie-fortuna,1,,1,,2,
google / organic,/blog/bonus-excelbet,1,,1,,2,
google / organic,/blog/bonus-fara-depunere-casa-pariurilor,1,0,1,,1,0
google / organic,/blog/bonus-fara-depunere-las-vegas-casino,4,0.3333333333333333,1,,6,1
google / organic,/blog/bonusbet-casino-bonus-de-bun-venit,1,,1,,1,
google / organic,/blog/cine-detine-winbet,2,-0.3333333333333333,1,,3,0
google / organic,/blog/cod-bonus-netbet,4,0.3333333333333333,1,,4,-0.2
google / organic,/blog/cod-bonus-stanleybet,7,1.3333333333333333,1,,7,1.3333333333333333
google / organic,/blog/cod-bonus-vlad-cazino,10,0.25,1,-0.8,10,0.25
google / organic,/blog/cod-bonus-win2-casino,4,0,1,-0.5,4,0
google / organic,/blog/cod-promo-favbet,1,-0.8571428571428571,1,,1,-0.8888888888888888
google / organic,/blog/cod-promotional-million-casino,11,-0.21428571428571427,1,-0.6666666666666666,12,-0.3684210526315789
google / organic,/blog/cod-promotional-mr-bit,6,0.5,1,,6,0.5
